datetime_utc,distance_au,velocity_km_s,designation,name,diameter_km,potentially_hazardous
2020-04-29 09:56,0.042048495605758,8.70158478774505,52768,,1.75,True
2020-06-06 03:20,0.0340481350294297,11.1461841682533,163348,,0.735,True
2020-07-14 11:12,0.0869025682664901,9.81706925297989,480936,,0.537,True
2020-07-23 23:09,0.0546899072934384,7.64359989644057,8014,,0.7,True
2020-11-29 05:08,0.0287618678984483,25.0726387403463,153201,,0.51,True
